document_number,title,type,agency_names,publication_date,html_url,change
2026-19071,Partial Repeal of the Carbon Pollution Standards for Fossil Fuel-Fired Electric Generating Units,Rule,Environmental Protection Agency,2026-09-17,https://www.federalregister.gov/documents/2026/09/17/2026-19071/partial-repeal-of-the-carbon-pollution-standards-for-fossil-fuel-fired-electric-generating-units,new
2026-18375,Airworthiness Directives; Airbus SAS Airplanes,Proposed Rule,Transportation Department; Federal Aviation Administration,2026-09-09,https://www.federalregister.gov/documents/2026/09/09/2026-18375/airworthiness-directives-airbus-sas-airplanes,unchanged
2026-17359,"Foreign-Trade Zone (FTZ) 138, Notification of Proposed Production Activity; Fluid Quip KS, LLC; (Separation and Grinding Equipment); Springfield, Ohio",Notice,Commerce Department; Foreign-Trade Zones Board,2026-08-26,https://www.federalregister.gov/documents/2026/08/26/2026-17359/foreign-trade-zone-ftz-138-notification-of-proposed-production-activity-fluid-quip-ks-llc-separation,unchanged
2026-17241,"Foreign-Trade Zone (FTZ) 183, Notification of Proposed Production Activity; Ichor Systems, Inc.; (Semiconductor Equipment); Austin, Texas",Notice,Commerce Department; Foreign-Trade Zones Board,2026-08-24,https://www.federalregister.gov/documents/2026/08/24/2026-17241/foreign-trade-zone-ftz-183-notification-of-proposed-production-activity-ichor-systems-inc,unchanged
2026-15999,"Foreign-Trade Zone (FTZ) 39, Notification of Proposed Production Activity; Abbott Laboratories; (Diagnostic Medical Devices); Irving, Texas",Notice,Commerce Department; Foreign-Trade Zones Board,2026-08-06,https://www.federalregister.gov/documents/2026/08/06/2026-15999/foreign-trade-zone-ftz-39-notification-of-proposed-production-activity-abbott-laboratories,unchanged
2026-15192,Perchloroethylene (PCE) and Carbon Tetrachloride (CTC); Regulation under the Toxic Substances Control Act (TSCA); Compliance Date Extensions,Rule,Environmental Protection Agency,2026-07-28,https://www.federalregister.gov/documents/2026/07/28/2026-15192/perchloroethylene-pce-and-carbon-tetrachloride-ctc-regulation-under-the-toxic-substances-control-act,unchanged
2026-14834,"Columbia Gas Transmission, LLC; Notice of Availability of the Environmental Assessment for the Proposed Southeast Virginia Energy Storage Project",Notice,Energy Department; Federal Energy Regulatory Commission,2026-07-23,https://www.federalregister.gov/documents/2026/07/23/2026-14834/columbia-gas-transmission-llc-notice-of-availability-of-the-environmental-assessment-for-the,unchanged
2026-14637,Endangered and Threatened Wildlife and Plants; Endangered Species Status for Key Ring-Necked Snake and Rim Rock Crowned Snake,Rule,Interior Department; Fish and Wildlife Service,2026-07-21,https://www.federalregister.gov/documents/2026/07/21/2026-14637/endangered-and-threatened-wildlife-and-plants-endangered-species-status-for-key-ring-necked-snake,unchanged
2026-14539,Public Charge Ground of Inadmissibility,Rule,Homeland Security Department,2026-07-20,https://www.federalregister.gov/documents/2026/07/20/2026-14539/public-charge-ground-of-inadmissibility,unchanged
2026-14371,New Source Performance Standards Review for Stationary Combustion Turbines and Stationary Gas Turbines; Correction,Rule,Environmental Protection Agency,2026-07-16,https://www.federalregister.gov/documents/2026/07/16/2026-14371/new-source-performance-standards-review-for-stationary-combustion-turbines-and-stationary-gas,unchanged
2026-14341,"Modernizing Reactor Licensing, Safety Oversight, and Siting Practices",Proposed Rule,Nuclear Regulatory Commission,2026-07-16,https://www.federalregister.gov/documents/2026/07/16/2026-14341/modernizing-reactor-licensing-safety-oversight-and-siting-practices,unchanged
2026-14112,Amendments and Nonconformance Penalties for Model Year 2027 and Later Heavy-Duty Highway Engines and Amendments to Inducement Provisions for SCR-Equipped Diesel Engines,Proposed Rule,Environmental Protection Agency,2026-07-14,https://www.federalregister.gov/documents/2026/07/14/2026-14112/amendments-and-nonconformance-penalties-for-model-year-2027-and-later-heavy-duty-highway-engines-and,unchanged
2026-13805,Pipeline Safety: Repair Criteria for Hazardous Liquid and Gas Transmission Pipelines,Proposed Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,2026-07-08,https://www.federalregister.gov/documents/2026/07/08/2026-13805/pipeline-safety-repair-criteria-for-hazardous-liquid-and-gas-transmission-pipelines,unchanged
2026-13687,Implementation of the National Environmental Policy Act,Proposed Rule,Nuclear Regulatory Commission,2026-07-07,https://www.federalregister.gov/documents/2026/07/07/2026-13687/implementation-of-the-national-environmental-policy-act,unchanged
2026-13674,"Energy Conservation Program: Procedures, Interpretations, and Policies for Consideration of New or Revised Energy Conservation Standards and Test Procedures for Consumer Products and Certain Commercial/Industrial Equipment",Proposed Rule,Energy Department,2026-07-07,https://www.federalregister.gov/documents/2026/07/07/2026-13674/energy-conservation-program-procedures-interpretations-and-policies-for-consideration-of-new-or,unchanged
2026-13673,Energy Conservation Program: Review of DOE's Analytic Methods for Setting Energy Conservation Standards,Proposed Rule,Energy Department,2026-07-07,https://www.federalregister.gov/documents/2026/07/07/2026-13673/energy-conservation-program-review-of-does-analytic-methods-for-setting-energy-conservation,unchanged
2026-13302,Integrated Low-Level Radioactive Waste Disposal,Proposed Rule,Nuclear Regulatory Commission,2026-07-01,https://www.federalregister.gov/documents/2026/07/01/2026-13302/integrated-low-level-radioactive-waste-disposal,unchanged
2026-13133,"Federal Oil, Gas, and Coal Amendments",Proposed Rule,Interior Department; Natural Resources Revenue Office,2026-06-30,https://www.federalregister.gov/documents/2026/06/30/2026-13133/federal-oil-gas-and-coal-amendments,unchanged
2026-12981,Federal Motor Vehicle Safety Standards; Modernization of FMVSS No. 135 To Accommodate ADS-Equipped Vehicles,Proposed Rule,Transportation Department; National Highway Traffic Safety Administration,2026-06-26,https://www.federalregister.gov/documents/2026/06/26/2026-12981/federal-motor-vehicle-safety-standards-modernization-of-fmvss-no-135-to-accommodate-ads-equipped,unchanged
2026-12752,Pesticide Registration Maintenance Fee; Requested and Proposed Cancellations of Certain Pesticide Registrations,Notice,Environmental Protection Agency,2026-06-25,https://www.federalregister.gov/documents/2026/06/25/2026-12752/pesticide-registration-maintenance-fee-requested-and-proposed-cancellations-of-certain-pesticide,unchanged
2026-12534,"Foreign-Trade Zone (FTZ) 18, Notification of Proposed Production Activity; KLA Corporation; (Semiconductor Wafer Fabrication Tools); Milpitas, California",Notice,Commerce Department; Foreign-Trade Zones Board,2026-06-23,https://www.federalregister.gov/documents/2026/06/23/2026-12534/foreign-trade-zone-ftz-18-notification-of-proposed-production-activity-kla-corporation-semiconductor,unchanged
2026-12240,"Request for Information Regarding Products and Categories of Products Used in Housing Programs Pursuant to the Build America, Buy America Act",Notice,Housing and Urban Development Department,2026-06-18,https://www.federalregister.gov/documents/2026/06/18/2026-12240/request-for-information-regarding-products-and-categories-of-products-used-in-housing-programs,unchanged
2026-12210,"Proposed Settlement Agreement, Stipulation, Order and Judgement, etc.; Daikin Comfort Technologies Manufacturing, Inc.",Notice,Consumer Product Safety Commission,2026-06-17,https://www.federalregister.gov/documents/2026/06/17/2026-12210/proposed-settlement-agreement-stipulation-order-and-judgement-etc-daikin-comfort-technologies,unchanged
2026-11973,Implementing Regulation for National Environmental Policy Act (NEPA): Environmental Effects of the Department of Veterans Affairs Actions,Rule,Veterans Affairs Department,2026-06-15,https://www.federalregister.gov/documents/2026/06/15/2026-11973/implementing-regulation-for-national-environmental-policy-act-nepa-environmental-effects-of-the,unchanged
2026-11761,Publication of the List of Medical Devices Requiring Specific Authorization for the North Korea Sanctions Regulations,Rule,Treasury Department; Foreign Assets Control Office,2026-06-11,https://www.federalregister.gov/documents/2026/06/11/2026-11761/publication-of-the-list-of-medical-devices-requiring-specific-authorization-for-the-north-korea,unchanged
2026-11648,Oil and Gas and Sulfur Operations in the Outer Continental Shelf-Documents Incorporated by Reference,Rule,Interior Department; Safety and Environmental Enforcement Bureau,2026-06-10,https://www.federalregister.gov/documents/2026/06/10/2026-11648/oil-and-gas-and-sulfur-operations-in-the-outer-continental-shelf-documents-incorporated-by-reference,unchanged
2026-11431,"Foreign-Trade Zone (FTZ) 84, Notification of Proposed Production Activity; Tesla Inc.; (Battery Storage Products and Components); Brookshire, Texas",Notice,Commerce Department; Foreign-Trade Zones Board,2026-06-08,https://www.federalregister.gov/documents/2026/06/08/2026-11431/foreign-trade-zone-ftz-84-notification-of-proposed-production-activity-tesla-inc-battery-storage,unchanged
2026-11158,"Notice of Determination and Request for Comments Concerning Action Pursuant to Section 301: Brazil's Acts, Policies, and Practices Related to Digital Trade and Electronic Payment Services; Unfair, Preferential Tariffs; Anti-Corruption Enforcement; Intellectual Property Protection; Ethanol Market Access; and Illegal Deforestation",Notice,"Trade Representative, Office of United States",2026-06-04,https://www.federalregister.gov/documents/2026/06/04/2026-11158/notice-of-determination-and-request-for-comments-concerning-action-pursuant-to-section-301-brazils,unchanged
2026-11047,National Emission Standards for Hazardous Air Pollutants From Hazardous Waste Combustors: Residual Risk and Technology Review,Rule,Environmental Protection Agency,2026-06-03,https://www.federalregister.gov/documents/2026/06/03/2026-11047/national-emission-standards-for-hazardous-air-pollutants-from-hazardous-waste-combustors-residual,unchanged
2026-10642,Approval of Source-Specific Air Quality Implementation Plan; New York; Big Six Towers Inc.,Proposed Rule,Environmental Protection Agency,2026-05-28,https://www.federalregister.gov/documents/2026/05/28/2026-10642/approval-of-source-specific-air-quality-implementation-plan-new-york-big-six-towers-inc,unchanged
